Ligand,BestMode,minimizedAffinity (kcal/mol),CNNscore,CNNaffinity,CNN_VS
Combined groups_docked_random_indole_combined_CH2OH13_16.sdf,6,-9.64075,0.5254304409,8.0694360733,4.2399272919
Combined groups_docked_random_indole_combined_OH17_58.sdf,1,-9.63356,0.9092372060,8.3331298828,7.5767917633
OH_docked_random_indole_OH_5.sdf,9,-9.6314,0.5030785799,8.2889461517,4.1699914932
Combined groups_docked_random_indole_combined_CONH214_11.sdf,3,-9.62338,0.6286172867,8.1716222763,5.1368231773
Combined groups_docked_random_indole_combined_CONH214_SO2CH313_96.sdf,8,-9.62099,0.3813376129,8.5654754639,3.2663378716
OCH3_docked_random_indole_OCH3_3.sdf,2,-9.61817,0.7608094811,8.6218652725,6.5595970154
Combined groups_docked_random_indole_combined_CH2OH13_NH211_85.sdf,8,-9.61167,0.4780397117,8.3363990784,3.9851298332
CH2OH_docked_random_indole_CH2OH_8.sdf,5,-9.57743,0.5806820989,8.4762964249,4.9220337868
Combined groups_docked_random_indole_combined_OCH315_NH214_27.sdf,5,-9.56979,0.3888154924,8.3530025482,3.2477767467
CONH2_docked_random_indole_CONH2_9.sdf,4,-9.56508,0.5522988439,7.8217597008,4.3199486732
Combined groups_docked_random_indole_combined_CF313_CN15_74.sdf,9,-9.56216,0.6972221732,8.5015764236,5.9274873734
SO2CH3_docked_random_indole_SO2CH3_9.sdf,9,-9.55853,0.5587497950,8.6203489304,4.8166179657
Combined groups_docked_random_indole_combined_CN15_SO2CH314_79.sdf,6,-9.55744,0.4067397714,8.6665525436,3.5250315666
Combined groups_docked_random_indole_combined_OH11_14.sdf,2,-9.55539,0.7504957914,8.4057025909,6.3084445000
NH2_docked_random_indole_NH2_2.sdf,8,-9.55396,0.2663662732,7.9988441467,2.1306223869
CH2OH_docked_random_indole_CH2OH_5.sdf,7,-9.55064,0.5026507378,8.1942348480,4.1188383102
Combined groups_docked_random_indole_combined_F17_OCH315_5.sdf,3,-9.54786,0.6557011008,8.7000303268,5.7046194077
CH3_docked_random_indole_CH3_6.sdf,5,-9.53849,0.5581757426,8.1117372513,4.5277748108
Combined groups_docked_random_indole_combined_CF317_OH13_OCH315_35.sdf,5,-9.53821,0.3735027015,8.7292098999,3.2603833675
F_docked_random_indole_F_5.sdf,7,-9.52904,0.4888647795,8.4954547882,4.1531286240
